Rank,Name,Country,Born,Order,Consistory,Office,PapalConclaveEligible,CreatedCardinalBy
210,Dominique Mamberti,France,7 March 1952,CD,14 February 2015,Prefect of the Supreme Tribunal of the Apostolic Signatura,True,Pope Francis
211,Mario Zenari,Italy,5 January 1946,CD,19 November 2016,Apostolic Nuncio emeritus,False,Pope Francis
212,Kevin Farrell,United States[u],2 September 1947,CD,19 November 2016,"Prefect of the Dicastery for the Laity, Family and Life",True,Pope Francis
213,Ernest Simoni,Albania,18 October 1928,CD,19 November 2016,Priest of the Archdiocese of Shkodër–Pult,False,Pope Francis
214,Luis Ladaria Ferrer SJ,Spain,19 April 1944,CD,28 June 2018,Prefect emeritus of the Dicastery for the Doctrine of the Faith,False,Pope Francis
215,Giovanni Angelo Becciu[w],Italy,2 June 1948,CD,28 June 2018,Prefect emeritus of the Congregation for the Causes of Saints,False,Pope Francis
216,Konrad Krajewski,Poland,25 November 1963,CD,28 June 2018,Archbishop of Łódź,True,Pope Francis
217,Aquilino Bocos Merino CMF,Spain,17 May 1938,CD,28 June 2018,Superior General emeritus of the Missionary Sons of the Immaculate Heart of Mary,False,Pope Francis
218,José Tolentino de Mendonça,Portugal,15 December 1965,CD,5 October 2019,Prefect of the Dicastery for Culture and Education,True,Pope Francis
219,Michael Czerny SJ,Canada[x],18 July 1946,CD,5 October 2019,Prefect of the Dicastery for Promoting Integral Human Development,True,Pope Francis
220,Michael Fitzgerald MAfr,United Kingdom,17 August 1937,CD,5 October 2019,Apostolic Nuncio emeritus,False,Pope Francis
221,Mario Grech,Malta,20 February 1957,CD,28 November 2020,Secretary-General of the Synod of Bishops,True,Pope Francis
222,Marcello Semeraro,Italy,22 December 1947,CD,28 November 2020,Prefect of the Dicastery for the Causes of Saints,True,Pope Francis
223,Mauro Gambetti OFMConv,Italy,27 October 1965,CD,28 November 2020,"Vicar General for Vatican City, Archpriest of the Papal Basilica of Saint Peter and President of the Fabric of Saint Peter",True,Pope Francis
224,Silvano Maria Tomasi CS,Italy,12 October 1940,CD,28 November 2020,Special Delegate to the Sovereign Military Order of Malta,False,Pope Francis
225,Raniero Cantalamessa OFMCap,Italy,22 July 1934,CD,28 November 2020,Preacher emeritus of the Papal Household,False,Pope Francis
226,Enrico Feroci,Italy,27 August 1940,CD,28 November 2020,"Pastor of the Shrine of Our Lady of Divine Love in Castel di Leva, Rome",False,Pope Francis
227,Arthur Roche,United Kingdom,6 March 1950,CD,27 August 2022,Prefect of the Dicastery for Divine Worship and the Discipline of the Sacraments,True,Pope Francis
228,Lazarus You Heung-sik,South Korea,17 November 1951,CD,27 August 2022,Prefect of the Dicastery for the Clergy,True,Pope Francis
229,Fernando Vérgez Alzaga LC,Spain,1 March 1945,CD,27 August 2022,President emeritus of the Pontifical Commission for Vatican City State,False,Pope Francis
230,Gianfranco Ghirlanda SJ,Italy,5 July 1942,CD,27 August 2022,Patron of the Sovereign Military Order of Malta,False,Pope Francis
231,Fortunato Frezza,Italy,6 February 1942,CD,27 August 2022,Canon of the Chapter of the Papal Basilica of Saint Peter,False,Pope Francis
232,Claudio Gugerotti,Italy,7 October 1955,CD,30 September 2023,Prefect of the Dicastery for the Eastern Churches,True,Pope Francis
233,Víctor Manuel Fernández,Argentina,18 July 1962,CD,30 September 2023,Prefect of the Dicastery for the Doctrine of the Faith,True,Pope Francis
234,Christophe Pierre,France,30 January 1946,CD,30 September 2023,Apostolic Nuncio emeritus,False,Pope Francis
235,Ángel Fernández Artime SDB,Spain,21 August 1960,CD,30 September 2023,Pro-Prefect of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,True,Pope Francis
236,Agostino Marchetto,Italy,28 August 1940,CD,30 September 2023,Secretary emeritus of the Pontifical Council for the Pastoral Care of Migrants and Itinerant People,False,Pope Francis
237,Angelo Acerbi,Italy,23 September 1925,CD,7 December 2024,Apostolic Nuncio emeritus,False,Pope Francis
238,Rolandas Makrickas,Lithuania,31 January 1972,CD,7 December 2024,Archpriest of the Papal Basilica of Saint Mary Major,True,Pope Francis
239,Timothy Radcliffe OP,United Kingdom,22 August 1945,CD,7 December 2024,Master emeritus of the Order of Preachers,False,Pope Francis
240,Fabio Baggio CS,Italy,15 January 1965,CD,7 December 2024,Undersecretary of the Migrants and Refugees Section of the Dicastery for Promoting Integral Human Development,True,Pope Francis
241,George Koovakad,India,11 August 1973,CD,7 December 2024,Prefect of the Dicastery for Interreligious Dialogue,True,Pope Francis
